Set	Gene	RGR	R2adj	RMSE	DW_final	FW_final	effect	comment
2	AT4G37930	0.0054	0.9811	1.3338	0.0142	0.1357	Reduced growth at 17 °C	Rep 2 missing
2	AT4G37930	0.0041	0.9616	1.1864	0.0142	0.1357	Reduced growth at 17 °C	Rep 2 missing
2	WT	0.0047	0.9499	1.5815	0.0250	0.2262	na	
2	WT	0.0044	0.8973	3.1299	0.0250	0.2262	na	
2	WT	0.0056	0.9495	2.0594	0.0250	0.2262	na	
2	WT	0.0046	0.9878	1.0666	0.0250	0.2262	na	
2	AT5G11520	0.0048	0.9450	2.8647	0.0351	0.3396	neg. control	
2	AT5G11520	0.0050	0.9765	1.8087	0.0351	0.3396	neg. control	
2	AT5G11520	0.0051	0.9346	2.9456	0.0351	0.3396	neg. control	
2	AT5G11520	0.0054	0.9788	1.4161	0.0351	0.3396	neg. control	
2	AT1G48470	0.0058	0.9175	2.8482	0.0201	0.1868	neg. control	Rep 2 very purple, not included
2	AT1G48470	NaN	NaN	NaN	0.0201	0.1868	neg. control	Rep 2 very purple, not included
2	AT1G48470	0.0053	0.9536	2.6269	0.0201	0.1868	neg. control	Rep 2 very purple, not included
2	AT1G48470	0.0049	0.9432	1.7656	0.0201	0.1868	neg. control	Rep 2 very purple, not included
2	AT2G41220	NaN	NaN	NaN	0.0083	0.0809	neg. control	Rep 1 transplanted
2	AT2G41220	0.0054	0.9547	2.4244	0.0083	0.0809	neg. control	Rep 1 transplanted
2	AT2G41220	0.0027	0.1325	1.7927	0.0083	0.0809	neg. control	Rep 1 transplanted
2	AT2G41220	NaN	NaN	NaN	0.0083	0.0809	neg. control	Rep 1 transplanted
2	AT5G11520	0.0051	0.9617	2.0226	0.0324	0.3140	neg. control	
2	AT5G11520	0.0056	0.9724	1.5593	0.0324	0.3140	neg. control	
2	AT5G11520	0.0061	0.9555	2.7210	0.0324	0.3140	neg. control	
2	AT5G11520	0.0050	0.9665	2.2603	0.0324	0.3140	neg. control	
2	AT1G64190	0.0049	0.9446	2.4891	0.0316	0.2890	neg. control	
2	AT1G64190	0.0054	0.9738	1.9140	0.0316	0.2890	neg. control	
2	AT1G64190	0.0060	0.9863	1.2669	0.0316	0.2890	neg. control	
2	AT1G64190	0.0055	0.9717	1.6732	0.0316	0.2890	neg. control	
2	AT2G39800	NaN	NaN	NaN	0.0037	0.0346	neg. control	Only rep 3 alive for measuring
2	AT2G39800	NaN	NaN	NaN	0.0037	0.0346	neg. control	Only rep 3 alive for measuring
2	AT2G39800	0.0056	0.9803	1.0375	0.0037	0.0346	neg. control	Only rep 3 alive for measuring
2	AT2G39800	NaN	NaN	NaN	0.0037	0.0346	neg. control	Only rep 3 alive for measuring
2	AT1G64190	0.0056	0.9790	1.8531	0.0316	0.3102	neg. control	
2	AT1G64190	0.0052	0.9499	2.7116	0.0316	0.3102	neg. control	
2	AT1G64190	0.0044	0.9818	1.1623	0.0316	0.3102	neg. control	
2	AT1G64190	0.0057	0.9643	1.7810	0.0316	0.3102	neg. control	
2	AT1G48470	0.0028	0.9584	1.3373	0.0569	0.5401	neg. control	
2	AT1G48470	0.0045	0.9873	1.2201	0.0569	0.5401	neg. control	
2	AT1G48470	0.0043	0.9739	2.0276	0.0569	0.5401	neg. control	
2	AT1G48470	0.0046	0.9626	2.9208	0.0569	0.5401	neg. control	
2	AT5G47840	0.0048	0.9704	2.1015	0.0493	0.4956	neg. control	
2	AT5G47840	0.0048	0.9749	1.7792	0.0493	0.4956	neg. control	
2	AT5G47840	0.0047	0.9935	1.0711	0.0493	0.4956	neg. control	
2	AT5G47840	0.0049	0.9771	1.7418	0.0493	0.4956	neg. control	
2	AT3G52200	0.0046	0.9174	2.9865	0.0403	0.3759	neg. control	
2	AT3G52200	0.0046	0.9736	1.9672	0.0403	0.3759	neg. control	
2	AT3G52200	0.0057	0.9724	2.1004	0.0403	0.3759	neg. control	
2	AT3G52200	0.0045	0.9754	1.7637	0.0403	0.3759	neg. control	
2	AT4G37930	NaN	NaN	NaN	0.0015	0.0114	Reduced growth at 17 °C	Reps 2 and 4 missing
2	AT4G37930	NaN	NaN	NaN	0.0015	0.0114	Reduced growth at 17 °C	Reps 2 and 4 missing
2	AT4G37930	0.0121	0.9714	0.9678	0.0015	0.0114	Reduced growth at 17 °C	Reps 2 and 4 missing
2	AT4G37930	NaN	NaN	NaN	0.0015	0.0114	Reduced growth at 17 °C	Reps 2 and 4 missing
2	AT5G11520	0.0055	0.9793	1.8981	0.0324	0.3264	neg. control	
2	AT5G11520	0.0062	0.9535	3.0227	0.0324	0.3264	neg. control	
2	AT5G11520	0.0061	0.9510	2.6421	0.0324	0.3264	neg. control	
2	AT5G11520	0.0054	0.9367	1.7801	0.0324	0.3264	neg. control	
2	AT4G37930	0.0059	0.9325	1.1737	0.0192	0.1956	Reduced growth at 17 °C	
2	AT4G37930	0.0051	0.9729	1.8458	0.0192	0.1956	Reduced growth at 17 °C	
2	AT4G37930	0.0055	0.9797	1.1722	0.0192	0.1956	Reduced growth at 17 °C	
2	AT4G37930	0.0056	0.9566	1.9984	0.0192	0.1956	Reduced growth at 17 °C	
2	AT1G64190	0.0054	0.9821	1.3779	0.0408	0.3790	neg. control	
2	AT1G64190	0.0044	0.9755	1.6642	0.0408	0.3790	neg. control	
2	AT1G64190	0.0050	0.9548	2.6819	0.0408	0.3790	neg. control	
2	AT1G64190	0.0047	0.9652	1.9125	0.0408	0.3790	neg. control	
2	AT1G74040	0.0048	0.9736	1.7457	0.0284	0.2702	neg. control	
2	AT1G74040	0.0055	0.9919	1.0004	0.0284	0.2702	neg. control	
2	AT1G74040	0.0037	0.4677	3.9239	0.0284	0.2702	neg. control	
2	AT1G74040	0.0048	0.9861	1.1780	0.0284	0.2702	neg. control	
2	AT3G52720	NaN	NaN	NaN	0.0101	0.0905	neg. control	Reps 1 and 3 missing
2	AT3G52720	0.0036	0.9507	1.7518	0.0101	0.0905	neg. control	Reps 1 and 3 missing
2	AT3G52720	NaN	NaN	NaN	0.0101	0.0905	neg. control	Reps 1 and 3 missing
2	AT3G52720	0.0019	0.8079	1.3806	0.0101	0.0905	neg. control	Reps 1 and 3 missing
2	AT4G35460	0.0047	0.9324	2.2115	0.0210	0.1869	neg. control	Rep 2 too small, discarded
2	AT4G35460	0.0022	0.8030	0.7005	0.0210	0.1869	neg. control	Rep 2 too small, discarded
2	AT4G35460	0.0044	0.9130	2.3577	0.0210	0.1869	neg. control	Rep 2 too small, discarded
2	AT4G35460	0.0043	0.9889	1.1542	0.0210	0.1869	neg. control	Rep 2 too small, discarded
2	AT5G11520	0.0031	0.8637	2.7087	0.0446	0.4389	neg. control	
2	AT5G11520	0.0044	0.9871	1.3150	0.0446	0.4389	neg. control	
2	AT5G11520	0.0046	0.9061	3.3612	0.0446	0.4389	neg. control	
2	AT5G11520	0.0052	0.9639	2.7964	0.0446	0.4389	neg. control	
2	AT1G08065	0.0048	0.9232	2.5004	0.0277	0.2781	neg. control	
2	AT1G08065	0.0050	0.9341	2.2831	0.0277	0.2781	neg. control	
2	AT1G08065	0.0048	0.9419	2.5011	0.0277	0.2781	neg. control	
2	AT1G08065	0.0055	0.9728	1.8005	0.0277	0.2781	neg. control	
2	AT4G37930	NaN	NaN	NaN	0.0117	0.1110	Reduced growth at 17 °C	Reps 1 and 2 too small, discarded
2	AT4G37930	NaN	NaN	NaN	0.0117	0.1110	Reduced growth at 17 °C	Reps 1 and 2 too small, discarded
2	AT4G37930	0.0058	0.9782	1.4673	0.0117	0.1110	Reduced growth at 17 °C	Reps 1 and 2 too small, discarded
2	AT4G37930	0.0055	0.9761	1.4403	0.0117	0.1110	Reduced growth at 17 °C	Reps 1 and 2 too small, discarded
2	AT1G74040	0.0061	0.9977	0.3570	0.0215	0.2070	neg. control	
2	AT1G74040	0.0060	0.9610	2.0323	0.0215	0.2070	neg. control	
2	AT1G74040	0.0054	0.9634	1.6421	0.0215	0.2070	neg. control	
2	AT1G74040	0.0049	0.9760	1.3208	0.0215	0.2070	neg. control	
2	AT5G47840	0.0054	0.9875	1.1851	0.0345	0.3341	neg. control	
2	AT5G47840	0.0055	0.9756	1.9777	0.0345	0.3341	neg. control	
2	AT5G47840	0.0045	0.9423	2.1307	0.0345	0.3341	neg. control	
2	AT5G47840	0.0052	0.9463	2.6179	0.0345	0.3341	neg. control	
2	WT	0.0040	0.9950	0.6388	0.0341	0.3564	na	
2	WT	0.0038	0.9787	1.8283	0.0341	0.3564	na	
2	WT	0.0049	0.9601	1.4766	0.0341	0.3564	na	
2	WT	0.0047	0.9935	0.7000	0.0341	0.3564	na	
2	AT1G53240	0.0033	0.9497	2.2944	0.0345	0.3028	neg. control	
2	AT1G53240	0.0050	0.9835	1.0307	0.0345	0.3028	neg. control	
2	AT1G53240	0.0016	0.5327	2.0170	0.0345	0.3028	neg. control	
2	AT1G53240	0.0039	0.9439	1.8555	0.0345	0.3028	neg. control	
2	AT2G41220	0.0055	0.9822	1.7584	0.0188	0.1783	neg. control	
2	AT2G41220	0.0057	0.8814	3.7625	0.0188	0.1783	neg. control	
2	AT2G41220	0.0008	-0.1708	6.8078	0.0188	0.1783	neg. control	
2	AT2G41220	0.0047	0.9470	0.8790	0.0188	0.1783	neg. control	
2	AT3G52200	0.0057	0.9652	2.0340	0.0144	0.1359	neg. control	Rep 2 too small, not included
2	AT3G52200	0.0037	0.7176	1.2760	0.0144	0.1359	neg. control	Rep 2 too small, not included
2	AT3G52200	0.0057	0.9772	1.2486	0.0144	0.1359	neg. control	Rep 2 too small, not included
2	AT3G52200	0.0033	0.6686	2.7086	0.0144	0.1359	neg. control	Rep 2 too small, not included
2	AT3G52930	0.0056	0.9653	2.9241	0.0362	0.3255	Reduced growth at 17 °C	Rep 2 stressed, purple under leaves and smaller than rest. Discarded
2	AT3G52930	0.0029	0.9395	0.9495	0.0362	0.3255	Reduced growth at 17 °C	Rep 2 stressed, purple under leaves and smaller than rest. Discarded
2	AT3G52930	0.0046	0.9881	1.0402	0.0362	0.3255	Reduced growth at 17 °C	Rep 2 stressed, purple under leaves and smaller than rest. Discarded
2	AT3G52930	0.0044	0.9608	1.9030	0.0362	0.3255	Reduced growth at 17 °C	Rep 2 stressed, purple under leaves and smaller than rest. Discarded
2	AT5G47840	0.0051	0.9244	2.5884	0.0495	0.4510	neg. control	
2	AT5G47840	0.0040	0.9502	2.2638	0.0495	0.4510	neg. control	
2	AT5G47840	0.0042	0.9258	2.5773	0.0495	0.4510	neg. control	
2	AT5G47840	0.0046	0.9781	1.6521	0.0495	0.4510	neg. control	
2	AT3G52720	NaN	NaN	NaN	0.0212	0.1750	neg. control	Reps 1 and 4 missing
2	AT3G52720	0.0035	0.9752	1.3904	0.0212	0.1750	neg. control	Reps 1 and 4 missing
2	AT3G52720	0.0046	0.9956	0.5052	0.0212	0.1750	neg. control	Reps 1 and 4 missing
2	AT3G52720	NaN	NaN	NaN	0.0212	0.1750	neg. control	Reps 1 and 4 missing
2	AT3G52720	0.0041	0.9794	0.8466	0.0230	0.1884	neg. control	
2	AT3G52720	0.0041	0.9820	0.8740	0.0230	0.1884	neg. control	
2	AT3G52720	0.0054	0.9726	1.8971	0.0230	0.1884	neg. control	
2	AT3G52720	0.0039	0.9806	0.7809	0.0230	0.1884	neg. control	
2	AT1G74040	0.0038	0.9546	1.7651	0.0347	0.3199	neg. control	
2	AT1G74040	0.0059	0.9622	2.2485	0.0347	0.3199	neg. control	
2	AT1G74040	0.0037	0.8449	2.7857	0.0347	0.3199	neg. control	
2	AT1G74040	0.0053	0.9828	1.5257	0.0347	0.3199	neg. control	
2	AT1G53240	0.0035	0.9264	2.5982	0.0530	0.4547	neg. control	
2	AT1G53240	0.0050	0.9836	1.2687	0.0530	0.4547	neg. control	
2	AT1G53240	0.0042	0.9417	2.8000	0.0530	0.4547	neg. control	
2	AT1G53240	0.0040	0.9838	1.3876	0.0530	0.4547	neg. control	
2	AT1G08065	0.0053	0.9920	1.0835	0.0400	0.3739	neg. control	
2	AT1G08065	0.0047	0.9420	2.2314	0.0400	0.3739	neg. control	
2	AT1G08065	0.0057	0.9776	1.7982	0.0400	0.3739	neg. control	
2	AT1G08065	0.0041	0.9663	1.6866	0.0400	0.3739	neg. control	
2	AT2G41220	0.0054	0.9650	2.1374	0.0230	0.2152	neg. control	Rep 4 missing
2	AT2G41220	0.0064	0.9705	1.1420	0.0230	0.2152	neg. control	Rep 4 missing
2	AT2G41220	0.0044	0.9803	1.5387	0.0230	0.2152	neg. control	Rep 4 missing
2	AT2G41220	NaN	NaN	NaN	0.0230	0.2152	neg. control	Rep 4 missing
2	AT2G41220	0.0046	0.9893	1.1827	0.0390	0.3341	neg. control	
2	AT2G41220	0.0047	0.9805	1.5286	0.0390	0.3341	neg. control	
2	AT2G41220	0.0039	0.9282	1.7349	0.0390	0.3341	neg. control	
2	AT2G41220	0.0052	0.9758	2.0487	0.0390	0.3341	neg. control	
2	AT1G18500	0.0051	0.9939	0.9341	0.0172	0.1530	Reduced growth at 17 °C	Rep 3 Meristem malformation, not included
2	AT1G18500	0.0047	0.9737	1.2205	0.0172	0.1530	Reduced growth at 17 °C	Rep 3 Meristem malformation, not included
2	AT1G18500	NaN	NaN	NaN	0.0172	0.1530	Reduced growth at 17 °C	Rep 3 Meristem malformation, not included
2	AT1G18500	0.0016	0.7605	1.0587	0.0172	0.1530	Reduced growth at 17 °C	Rep 3 Meristem malformation, not included
2	AT1G08065	0.0055	0.9725	2.2766	0.0460	0.4168	neg. control	
2	AT1G08065	0.0056	0.9629	1.8067	0.0460	0.4168	neg. control	
2	AT1G08065	0.0052	0.9898	1.2638	0.0460	0.4168	neg. control	
2	AT1G08065	0.0052	0.9652	2.4324	0.0460	0.4168	neg. control	
2	AT1G18500	0.0029	0.5920	2.3991	0.0054	0.0443	Reduced growth at 17 °C	All plants looked a bit stressed. Meristem malformation in plants 3 and 4. Only plants 1 and 2 measured
2	AT1G18500	NaN	NaN	NaN	0.0054	0.0443	Reduced growth at 17 °C	All plants looked a bit stressed. Meristem malformation in plants 3 and 4. Only plants 1 and 2 measured
2	AT1G18500	0.0042	0.9403	1.5978	0.0054	0.0443	Reduced growth at 17 °C	All plants looked a bit stressed. Meristem malformation in plants 3 and 4. Only plants 1 and 2 measured
2	AT1G18500	0.0043	0.9380	1.7979	0.0054	0.0443	Reduced growth at 17 °C	All plants looked a bit stressed. Meristem malformation in plants 3 and 4. Only plants 1 and 2 measured
2	AT2G39800	0.0056	0.9527	2.9809	0.0303	0.2842	neg. control	
2	AT2G39800	0.0047	0.9800	1.4533	0.0303	0.2842	neg. control	
2	AT2G39800	0.0071	0.9917	0.6139	0.0303	0.2842	neg. control	
2	AT2G39800	0.0061	0.9913	0.8315	0.0303	0.2842	neg. control	
2	AT1G08065	0.0057	0.9781	1.6588	0.0353	0.3526	neg. control	
2	AT1G08065	0.0059	0.9579	2.3128	0.0353	0.3526	neg. control	
2	AT1G08065	0.0047	0.9846	1.3387	0.0353	0.3526	neg. control	
2	AT1G08065	0.0060	0.9893	1.2588	0.0353	0.3526	neg. control	
2	AT1G53240	0.0043	0.9484	1.9222	0.0510	0.4586	neg. control	
2	AT1G53240	0.0033	0.9653	1.5740	0.0510	0.4586	neg. control	
2	AT1G53240	0.0043	0.9851	1.2909	0.0510	0.4586	neg. control	
2	AT1G53240	0.0037	0.9866	1.1257	0.0510	0.4586	neg. control	
2	AT4G35460	0.0039	0.9915	0.8966	0.0362	0.2990	neg. control	
2	AT4G35460	0.0046	0.9865	0.9154	0.0362	0.2990	neg. control	
2	AT4G35460	0.0039	0.9805	0.9262	0.0362	0.2990	neg. control	
2	AT4G35460	0.0043	0.9949	0.7250	0.0362	0.2990	neg. control	
2	AT1G74040	0.0065	0.9950	0.5101	0.0294	0.3064	neg. control	
2	AT1G74040	0.0066	0.9942	0.6994	0.0294	0.3064	neg. control	
2	AT1G74040	0.0053	0.9892	1.1104	0.0294	0.3064	neg. control	
2	AT1G74040	0.0050	0.9865	1.7061	0.0294	0.3064	neg. control	
2	AT3G52200	0.0068	0.9733	2.1772	0.0424	0.3993	neg. control	
2	AT3G52200	0.0067	0.9566	2.4846	0.0424	0.3993	neg. control	
2	AT3G52200	0.0049	0.9911	1.1310	0.0424	0.3993	neg. control	
2	AT3G52200	0.0054	0.9593	2.7179	0.0424	0.3993	neg. control	
2	AT1G48470	0.0048	0.9402	2.6619	0.0439	0.4263	neg. control	
2	AT1G48470	0.0053	0.9873	1.2250	0.0439	0.4263	neg. control	
2	AT1G48470	0.0057	0.9764	2.3160	0.0439	0.4263	neg. control	
2	AT1G48470	0.0046	0.9513	2.4745	0.0439	0.4263	neg. control	
2	WT	0.0034	0.9926	0.7307	0.0497	0.4362	na	
2	WT	0.0039	0.9968	0.5383	0.0497	0.4362	na	
2	WT	0.0046	0.9739	1.7741	0.0497	0.4362	na	
2	WT	0.0041	0.9526	2.2072	0.0497	0.4362	na	
2	AT2G39800	NaN	NaN	NaN	0.0117	0.1129	neg. control	Only rep 2 alive
2	AT2G39800	0.0049	0.9859	1.3238	0.0117	0.1129	neg. control	Only rep 2 alive
2	AT2G39800	NaN	NaN	NaN	0.0117	0.1129	neg. control	Only rep 2 alive
2	AT2G39800	NaN	NaN	NaN	0.0117	0.1129	neg. control	Only rep 2 alive
2	AT1G64190	0.0046	0.9834	1.3963	0.0403	0.3833	neg. control	
2	AT1G64190	0.0054	0.9837	1.3276	0.0403	0.3833	neg. control	
2	AT1G64190	0.0049	0.9876	1.2641	0.0403	0.3833	neg. control	
2	AT1G64190	0.0052	0.9824	1.6132	0.0403	0.3833	neg. control	
2	AT5G47840	0.0063	0.9961	0.8700	0.0412	0.4032	neg. control	Rep 4 missing
2	AT5G47840	0.0058	0.9841	1.6498	0.0412	0.4032	neg. control	Rep 4 missing
2	AT5G47840	0.0054	0.9773	2.3142	0.0412	0.4032	neg. control	Rep 4 missing
2	AT5G47840	NaN	NaN	NaN	0.0412	0.4032	neg. control	Rep 4 missing
2	AT3G52930	0.0061	0.9663	2.7710	0.0383	0.3842	Reduced growth at 17 °C	Rep 2 transplanted
2	AT3G52930	0.0058	0.9028	2.8989	0.0383	0.3842	Reduced growth at 17 °C	Rep 2 transplanted
2	AT3G52930	0.0047	0.9690	2.2442	0.0383	0.3842	Reduced growth at 17 °C	Rep 2 transplanted
2	AT3G52930	0.0070	0.9933	0.9190	0.0383	0.3842	Reduced growth at 17 °C	Rep 2 transplanted
2	AT3G52720	NaN	NaN	NaN	0.0000	0.0000	neg. control	No reps alive
2	AT3G52720	NaN	NaN	NaN	0.0000	0.0000	neg. control	No reps alive
2	AT3G52720	NaN	NaN	NaN	0.0000	0.0000	neg. control	No reps alive
2	AT3G52720	NaN	NaN	NaN	0.0000	0.0000	neg. control	No reps alive
2	AT3G52930	0.0051	0.9568	2.4259	0.0341	0.3190	Reduced growth at 17 °C	Philipp: not considered, repeated in dataRAW4th
2	AT3G52930	0.0057	0.9940	0.6588	0.0341	0.3190	Reduced growth at 17 °C	Philipp: not considered, repeated in dataRAW4th
2	AT3G52930	0.0061	0.9628	2.9035	0.0341	0.3190	Reduced growth at 17 °C	Philipp: not considered, repeated in dataRAW4th
2	AT3G52930	0.0050	0.9583	2.2543	0.0341	0.3190	Reduced growth at 17 °C	Philipp: not considered, repeated in dataRAW4th
2	AT1G53240	0.0046	0.9701	1.8837	0.0437	0.3806	neg. control	
2	AT1G53240	0.0038	0.9586	1.7665	0.0437	0.3806	neg. control	
2	AT1G53240	0.0040	0.9582	1.6985	0.0437	0.3806	neg. control	
2	AT1G53240	0.0050	0.9836	1.6854	0.0437	0.3806	neg. control	
2	AT1G48470	0.0056	0.9828	1.4277	0.0327	0.3067	neg. control	Rep 4 too small
2	AT1G48470	0.0053	0.9932	1.0180	0.0327	0.3067	neg. control	Rep 4 too small
2	AT1G48470	0.0051	0.9487	2.6929	0.0327	0.3067	neg. control	Rep 4 too small
2	AT1G48470	NaN	NaN	NaN	0.0327	0.3067	neg. control	Rep 4 too small
2	AT3G52930	0.0020	0.0085	2.1144	0.0161	0.1535	Reduced growth at 17 °C	Reps 1 and 4 too small
2	AT3G52930	0.0058	0.9800	1.3978	0.0161	0.1535	Reduced growth at 17 °C	Reps 1 and 4 too small
2	AT3G52930	0.0049	0.9684	1.7568	0.0161	0.1535	Reduced growth at 17 °C	Reps 1 and 4 too small
2	AT3G52930	0.0003	-0.1993	4.2346	0.0161	0.1535	Reduced growth at 17 °C	Reps 1 and 4 too small
2	AT4G35460	0.0047	0.9716	1.3272	0.0292	0.2655	neg. control	
2	AT4G35460	0.0055	0.9838	1.3791	0.0292	0.2655	neg. control	
2	AT4G35460	0.0049	0.9873	1.1244	0.0292	0.2655	neg. control	
2	AT4G35460	0.0057	0.9779	1.6329	0.0292	0.2655	neg. control	
2	AT3G52200	0.0061	0.9747	1.4627	0.0492	0.4572	neg. control	
2	AT3G52200	0.0049	0.9950	1.0508	0.0492	0.4572	neg. control	
2	AT3G52200	0.0048	0.8850	3.2934	0.0492	0.4572	neg. control	
2	AT3G52200	0.0045	0.9730	1.9716	0.0492	0.4572	neg. control	
2	AT1G18500	0.0047	0.8422	3.3878	0.0270	0.2530	Reduced growth at 17 °C	
2	AT1G18500	NaN	NaN	NaN	0.0270	0.2530	Reduced growth at 17 °C	
2	AT1G18500	0.0056	0.9556	1.7857	0.0270	0.2530	Reduced growth at 17 °C	
2	AT1G18500	0.0053	0.9918	1.1429	0.0270	0.2530	Reduced growth at 17 °C	
2	WT	0.0047	0.9798	1.9916	0.0551	0.5044	na	
2	WT	0.0045	0.9897	1.2657	0.0551	0.5044	na	
2	WT	0.0046	0.9836	1.5573	0.0551	0.5044	na	
2	WT	0.0051	0.9926	0.9045	0.0551	0.5044	na	
2	AT2G39800	0.0063	0.9545	1.9654	0.0316	0.3156	neg. control	Rep 3 missing
2	AT2G39800	0.0058	0.9875	1.6578	0.0316	0.3156	neg. control	Rep 3 missing
2	AT2G39800	NaN	NaN	NaN	0.0316	0.3156	neg. control	Rep 3 missing
2	AT2G39800	0.0048	0.6743	7.4440	0.0316	0.3156	neg. control	Rep 3 missing
2	AT1G18500	0.0039	0.9429	1.4955	0.0164	0.1612	Reduced growth at 17 °C	
2	AT1G18500	0.0049	0.9455	1.9041	0.0164	0.1612	Reduced growth at 17 °C	
2	AT1G18500	0.0046	0.9790	0.8608	0.0164	0.1612	Reduced growth at 17 °C	
2	AT1G18500	0.0044	0.9540	1.5920	0.0164	0.1612	Reduced growth at 17 °C	
3	AT2G45290	0.0061	0.9849	1.6115	0.0331	0.3172	negative control	
3	AT2G45290	0.0056	0.9183	2.1714	0.0331	0.3172	negative control	
3	AT2G45290	0.0052	0.9971	0.5818	0.0331	0.3172	negative control	
3	AT2G45290	0.0042	0.9732	1.6338	0.0331	0.3172	negative control	
3	AT2G36460	0.0048	0.9826	0.9601	0.0197	0.1902	negative control	rep 2 missing/ died
3	AT2G36460	NaN	NaN	NaN	0.0197	0.1902	negative control	rep 2 missing/ died
3	AT2G36460	0.0043	0.9687	1.5908	0.0197	0.1902	negative control	rep 2 missing/ died
3	AT2G36460	0.0053	0.9865	1.2310	0.0197	0.1902	negative control	rep 2 missing/ died
3	WT	0.0046	0.9915	0.9961	0.0491	0.4620	na	
3	WT	0.0058	0.9885	1.4019	0.0491	0.4620	na	
3	WT	0.0057	0.9774	2.0149	0.0491	0.4620	na	
3	WT	0.0057	0.9963	0.7788	0.0491	0.4620	na	
3	AT1G22170	0.0039	0.9529	2.2577	0.0456	0.4535	negative control	
3	AT1G22170	0.0052	0.9872	1.2022	0.0456	0.4535	negative control	
3	AT1G22170	0.0044	0.9812	1.7492	0.0456	0.4535	negative control	
3	AT1G22170	0.0047	0.9514	2.3823	0.0456	0.4535	negative control	
3	WT	0.0045	0.9714	2.2666	0.0571	0.5673	na	
3	WT	0.0048	0.9787	1.8663	0.0571	0.5673	na	
3	WT	0.0051	0.9912	1.3488	0.0571	0.5673	na	
3	WT	0.0048	0.9043	3.6338	0.0571	0.5673	na	
3	AT5G16570	0.0053	0.9586	1.7512	0.0391	0.3696	negative control	
3	AT5G16570	0.0048	0.9813	1.6776	0.0391	0.3696	negative control	
3	AT5G16570	0.0057	0.9246	2.6228	0.0391	0.3696	negative control	
3	AT5G16570	0.0043	0.9599	1.8360	0.0391	0.3696	negative control	
3	AT1G09795	0.0054	0.9814	1.6294	0.0460	0.4453	negative control	
3	AT1G09795	0.0051	0.9938	0.7314	0.0460	0.4453	negative control	
3	AT1G09795	0.0061	0.9951	1.1333	0.0460	0.4453	negative control	
3	AT1G09795	0.0050	0.9391	3.0490	0.0460	0.4453	negative control	
3	AT1G22170	0.0048	0.9646	1.9166	0.0327	0.3119	negative control	
3	AT1G22170	0.0043	0.9553	1.7135	0.0327	0.3119	negative control	
3	AT1G22170	0.0055	0.9149	3.4301	0.0327	0.3119	negative control	
3	AT1G22170	0.0057	0.9641	1.7586	0.0327	0.3119	negative control	
3	AT2G36460	0.0052	0.9850	1.1832	0.0248	0.2295	negative control	rep 4 missing/ died
3	AT2G36460	0.0044	0.9653	1.3259	0.0248	0.2295	negative control	rep 4 missing/ died
3	AT2G36460	0.0055	0.9958	0.8217	0.0248	0.2295	negative control	rep 4 missing/ died
3	AT2G36460	NaN	NaN	NaN	0.0248	0.2295	negative control	rep 4 missing/ died
3	AT2G17630	0.0049	0.9995	0.2702	0.0295	0.2837	negative control	rep 4 missing/ died
3	AT2G17630	0.0060	0.9984	0.3239	0.0295	0.2837	negative control	rep 4 missing/ died
3	AT2G17630	0.0050	0.9982	0.5174	0.0295	0.2837	negative control	rep 4 missing/ died
3	AT2G17630	NaN	NaN	NaN	0.0295	0.2837	negative control	rep 4 missing/ died
3	AT5G08740	0.0050	0.9791	1.3912	0.0251	0.2894	Reduced growth at 17 °C, but not at 27 °C	
3	AT5G08740	0.0055	0.9849	1.4332	0.0251	0.2894	Reduced growth at 17 °C, but not at 27 °C	
3	AT5G08740	0.0050	0.9897	0.8588	0.0251	0.2894	Reduced growth at 17 °C, but not at 27 °C	
3	AT5G08740	0.0049	0.9889	1.0263	0.0251	0.2894	Reduced growth at 17 °C, but not at 27 °C	
3	AT5G16570	0.0053	0.9914	1.3991	0.0507	0.4526	negative control	
3	AT5G16570	0.0053	0.9822	1.7348	0.0507	0.4526	negative control	
3	AT5G16570	0.0055	0.9761	1.5009	0.0507	0.4526	negative control	
3	AT5G16570	0.0046	0.9792	1.6386	0.0507	0.4526	negative control	
3	AT2G45290	0.0046	0.9897	1.4224	0.0628	0.6146	negative control	
3	AT2G45290	0.0046	0.9734	1.9772	0.0628	0.6146	negative control	
3	AT2G45290	0.0051	0.9476	3.1801	0.0628	0.6146	negative control	
3	AT2G45290	0.0064	0.9829	1.9624	0.0628	0.6146	negative control	
3	AT2G17630	0.0056	0.9565	2.3131	0.0435	0.4133	negative control	
3	AT2G17630	0.0059	0.9974	0.6979	0.0435	0.4133	negative control	
3	AT2G17630	0.0060	0.9717	1.9949	0.0435	0.4133	negative control	
3	AT2G17630	0.0056	0.9970	0.7546	0.0435	0.4133	negative control	
3	WT	0.0046	0.9481	2.1541	0.0450	0.3945	na	
3	WT	0.0056	0.9928	1.0458	0.0450	0.3945	na	
3	WT	0.0055	0.9887	1.4205	0.0450	0.3945	na	
3	WT	0.0054	0.9897	1.4038	0.0450	0.3945	na	
3	AT1G09795	0.0053	0.9958	0.6586	0.0334	0.3029	negative control	
3	AT1G09795	0.0047	0.9904	0.9019	0.0334	0.3029	negative control	
3	AT1G09795	0.0059	0.9775	1.4568	0.0334	0.3029	negative control	
3	AT1G09795	0.0052	0.9657	1.9069	0.0334	0.3029	negative control	
